#,Pokémon,Pokémon (dt.),,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Average,Ability 1,Ability 2,Ability 3,TIER,POINTS,,,,Momentum,Voltwechsel,Kehrtwende,Rollwende,Teleport,Abgangstirade,Stafette,Trick Room,Tail Wind,Hazards,Tarnsteine,Stachler,Giftspitzen,Klebenetz,Removal,Auflockern,Turbodreher,Seitenwechsel,Recovery,Wunschtraum,Genesung,Ruheort,Synthese,Tagedieb,Mondschein,Morgengrauen,Dschungelheilung,Heilbefehl,Milchgetränk,Sandsammler,Weichei,Prios,Turbotempo,Überrumpler,Tiefschlag,Mogelhieb,Turbofelsen,Tempohieb,Patronenhieb,Wasserdüse,Eissplitter,Schattenstoß,Ruckzuckhieb,Grasrutsche*,Wasser-Shuriken,Vakuumwelle,Gigasauger/Diebeskuss*,Screens,Auroraschleier,Reflektor,Lichtschild,Min Speed Lv 50,Max Speed Lv 50,Min Speed Lv 100,Max Speed Lv 100,Pokemon zusammen,Pokemon klein for Tampermonkey,"""",Schreibweise für Tampermonkey,Nightbot
301,Delcatty,Enekoro,,,NORMAL,- -,70,65,65,55,55,90,400,"66,67",Cute Charm,Normalize,Wonder Skin,40,2,,,,0,,,,,,,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,2,,,ja,ja,,,,,,,,,,,,,,,,85,156,166,306,Delcatty,delcatty,"""","[""pokemon"",""delcatty""],",Enekoro # 
244,Entei,Entei,,,FIRE,- -,115,115,85,90,75,100,580,"96,67",Pressure,,Inner Focus,100,12,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,94,167,184,328,Entei,entei,"""","[""pokemon"",""entei""],",Entei # 
54,Psyduck,Enton,,,WATER,- -,50,52,48,65,50,55,320,"53,33",Damp,Cloud Nine,Swift Swim,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,54,117,103,229,Psyduck,psyduck,"""","[""pokemon"",""psyduck""],",Enton # 
55,Golduck,Entoron,,,WATER,- -,80,82,78,95,80,85,500,"83,33",Damp,Cloud Nine,Swift Swim,40,1,,,,1,,,ja,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,81,150,157,295,Golduck,golduck,"""","[""pokemon"",""golduck""],",Entoron # 
133,Eevee,Evoli,,,NORMAL,- -,55,55,50,45,65,55,325,"54,17",Run Away,Adaptability,Anticipation,60,1,,,,1,,,,,,ja,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,54,117,103,229,Eevee,eevee,"""","[""pokemon"",""eevee""],",Evoli # 
235,Smeargle,Farbeagle,,,NORMAL,- -,55,20,35,20,45,75,250,"41,67",Own Tempo,Technician,Moody,100,5,,,,6,ja,ja,ja,ja,ja,ja,ja,ja,4,ja,ja,ja,ja,3,ja,ja,ja,11,ja,ja,ja,ja,ja,ja,ja,ja,ja,,ja,ja,13,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,,ja,ja,,,,,,72,139,139,273,Smeargle,smeargle,"""","[""pokemon"",""smeargle""],",Farbeagle # 
521,Unfezant,Fasasnob,,,NORMAL,FLYING,80,115,80,65,55,93,488,"81,33",Big Pecks,Super Luck,Rivalry,40,1,,,,1,,ja,,,,,,ja,0,,,,,1,ja,,,3,ja,,ja,,,,ja,,,,,,1,,,,,,,,,,,ja,,,,,,,,,88,159,171,313,Unfezant,unfezant,"""","[""pokemon"",""unfezant""],",Fasasnob # 
854,Sinistea,Fatalitee,,,GHOST,- -,40,45,45,74,54,50,308,"51,33",Weak Armor,,Cursed Body,,,,,,1,,,,,,ja,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,49,112,94,218,Sinistea,sinistea,"""","[""pokemon"",""sinistea""],",Fatalitee # 
700,Sylveon,Feelinara,,,FAIRY,- -,95,65,65,110,130,60,525,"87,5",Cute Charm,,Pixilate,120,13,,,,1,,,,,,ja,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,58,123,112,240,Sylveon,sylveon,"""","[""pokemon"",""sylveon""],",Feelinara # 
509,Purrloin,Felilou,,,DARK,- -,41,50,37,50,37,66,281,"46,83",Limber,Unburden,Prankster,40,1,,,,2,,ja,,,,ja,,,0,,,,,0,,,,0,,,,,,,,,,,,,3,,,ja,ja,,,,,,,ja,,,,,,,,,63,129,123,254,Purrloin,purrloin,"""","[""pokemon"",""purrloin""],",Felilou # 
194,Wooper,Felino,,,WATER,- -,55,45,45,25,25,15,210,35,Damp,Water Absorb,Unaware,40,1,,,,0,,,,,,,,,0,,,,,0,,,,1,,ja,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,18,73,31,141,Wooper,wooper,"""","[""pokemon"",""wooper""],",Felino # 
655,Delphox,Fennexis,,,FIRE,PSYCHIC,75,69,72,114,100,104,534,89,Blaze,,Magician,60,7,,,,0,,,,,,,ja,,0,,,,,0,,,,1,ja,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,98,171,191,337,Delphox,delphox,"""","[""pokemon"",""delphox""],",Fennexis # 
499,Pignite,Ferkokel,,,FIRE,FIGHTING,90,93,55,70,55,55,418,"69,67",Blaze,,Thick Fat,40,1,,,,0,,,,,,,,,0,,,,,0,,,,1,,,,,,,ja,,,,,,1,,,ja,,,,,,,,,,,,,,,,,54,117,103,229,Pignite,pignite,"""","[""pokemon"",""pignite""],",Ferkokel # 
632,Durant,Fermicula,,,BUG,STEEL,58,109,112,48,48,109,484,"80,67",Swarm,Hustle,Truant,60,7,,,,1,,,,,,ja,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,ja,,,,,,,,,,,,,,,,,,102,177,200,348,Durant,durant,"""","[""pokemon"",""durant""],",Fermicula # 
155,Cyndaquil,Feurigel,,,FIRE,- -,39,52,43,60,50,65,309,"51,5",Blaze,,Flash Fire,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,63,128,121,251,Cyndaquil,cyndaquil,"""","[""pokemon"",""cyndaquil""],",Feurigel # 
663,Talonflame,Fiaro,,,FIRE,FLYING,78,81,71,74,69,126,499,"83,17",Flame Body,,Gale Wings,60,7,,,,1,,ja,,,,,,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,117,195,231,386,Talonflame,talonflame,"""","[""pokemon"",""talonflame""],",Fiaro # 
261,Poochyena,Fiffyen,,,DARK,- -,35,55,35,30,30,35,220,"36,67",Run Away,Quick Feet,Rattled,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,36,95,67,185,Poochyena,poochyena,"""","[""pokemon"",""poochyena""],",Fiffyen # 
456,Finneon,Finneon,,,WATER,- -,49,49,56,49,61,66,330,55,Swift Swim,Storm Drain,Water Veil,40,1,,,,1,,ja,,,,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,63,129,123,254,Finneon,finneon,"""","[""pokemon"",""finneon""],",Finneon # 
362,Glalie,Firnontor,,,ICE,- -,80,80,80,80,80,80,480,80,Inner Focus,Ice Body,Moody,40,1,,,,0,,,,,,,,,1,,ja,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,,,,,76,145,148,284,Glalie,glalie,"""","[""pokemon"",""glalie""],",Firnontor # 
669,Flabebe,Flabebe,,,FAIRY,- -,44,38,39,61,79,42,303,"50,5",Flower Veil,,,40,1,,,,0,,,,,,,,,0,,,,,0,,,,2,ja,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,42,103,80,201,Flabebe,flabebe,"""","[""pokemon"",""flabebe""],",Flabebe # 
136,Flareon,Flamara,,,FIRE,- -,65,130,60,95,110,65,525,"87,5",Flash Fire,,Guts,40,3,,,,1,,,,,,ja,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,63,128,121,251,Flareon,flareon,"""","[""pokemon"",""flareon""],",Flamara # 
500,Emboar,Flambirex,,,FIRE,FIGHTING,110,123,65,100,65,65,528,88,Blaze,,Reckless,60,9,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,63,128,121,251,Emboar,emboar,"""","[""pokemon"",""emboar""],",Flambirex # 
725,Litten,Flamiau,,,FIRE,- -,45,65,40,60,40,70,320,"53,33",Blaze,,Intimidate,40,1,,,,1,,,,,ja,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,67,134,130,262,Litten,litten,"""","[""pokemon"",""litten""],",Flamiau # 
554,Darumaka,Flampion,,,FIRE,- -,70,90,45,15,45,50,315,"52,5",Hustle,,Inner Focus,40,1,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,49,112,94,218,Darumaka,darumaka,"""","[""pokemon"",""darumaka""],",Flampion # 
555,Darmanitan,Flampivian,,,FIRE,- -,105,140,55,30,55,95,480,80,Sheer Force,,Zen Mode,100,11,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,Darmanitan,darmanitan,"""","[""pokemon"",""darmanitan""],",Flampivian # 
555,Darmanitan-Zen,Flampivian-Zen,,,FIRE,PSYCHIC,105,30,105,140,105,55,540,90,Zen Mode,,,BANNED,BANNED,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,54,117,103,229,DarmanitanZen,darmanitanzen,"""","[""pokemon"",""darmanitanzen""],",Flampivian-Zen # 
566,Archen,Flapteryx,,,ROCK,FLYING,55,112,45,74,45,70,401,"66,83",Defeatist,,,40,1,,,,1,,ja,,,,,,ja,1,ja,,,,1,ja,,,1,,,ja,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,67,134,130,262,Archen,archen,"""","[""pokemon"",""archen""],",Flapteryx # 
684,Swirlix,Flauschling,,,FAIRY,- -,62,48,66,59,57,49,341,"56,83",Sweet Veil,,Unburden,40,1,,,,0,,,,,,,,,1,,,,ja,0,,,,1,ja,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,48,111,92,216,Swirlix,swirlix,"""","[""pokemon"",""swirlix""],",Flauschling # 
79,Slowpoke,Flegmon,,,WATER,PSYCHIC,90,65,65,40,40,15,315,"52,5",Oblivious,Own Tempo,Regenerator,40,1,,,,1,,,,ja,,,ja,,0,,,,,0,,,,1,,,,,ja,,,,,,,,0,,,,,,,,,,,,,,,,,,,,18,73,31,141,Slowpoke,slowpoke,"""","[""pokemon"",""slowpoke""],",Flegmon # 
527,Woobat,Fleknoil,,,PSYCHIC,FLYING,65,45,43,55,43,72,323,"53,83",Unaware,Klutz,Simple,40,1,,,,2,,ja,,,,ja,ja,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,69,136,134,267,Woobat,woobat,"""","[""pokemon"",""woobat""],",Fleknoil # 
255,Torchic,Flemmli,,,FIRE,- -,45,60,40,70,50,45,310,"51,67",Blaze,,Speed Boost,40,1,,,,1,,,,,,ja,,,0,,,,,1,ja,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,45,106,85,207,Torchic,torchic,"""","[""pokemon"",""torchic""],",Flemmli # 
528,Swoobat,Fletiamo,,,PSYCHIC,FLYING,67,57,55,77,55,114,425,"70,83",Unaware,Klutz,Simple,40,2,,,,2,,ja,,,,ja,ja,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,107,182,209,359,Swoobat,swoobat,"""","[""pokemon"",""swoobat""],",Fletiamo # 
670,Floette,Floette,,,FAIRY,- -,54,45,47,75,98,52,371,"61,83",Flower Veil,,Symbiosis,40,1,,,,0,,,,,,,,,0,,,,,0,,,,2,ja,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,51,114,98,223,Floette,floette,"""","[""pokemon"",""floette""],",Floette # 
670,Floette-Eternal,Floette-Ewig,,,FAIRY,- -,74,65,67,125,128,92,551,"91,83",Flower Veil,,,BANNED,BANNED,,,,0,,,,,,,,,0,,,,,0,,,,2,ja,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,158,170,311,FloetteEternal,floetteeternal,"""","[""pokemon"",""floetteeternal""],",Floette-Ewig # 
498,Tepig,Floink,,,FIRE,- -,65,63,45,45,45,45,308,"51,33",Blaze,,Thick Fat,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,45,106,85,207,Tepig,tepig,"""","[""pokemon"",""tepig""],",Floink # 
671,Florges,Florges,,,FAIRY,- -,78,65,68,112,154,75,552,92,Flower Veil,,Symbiosis,100,12,,,,0,,,,,,,,,0,,,,,1,ja,,,2,ja,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,72,139,139,273,Florges,florges,"""","[""pokemon"",""florges""],",Florges # 
174,Igglybuff,Fluffeluff,,,NORMAL,FAIRY,90,30,15,40,20,15,210,35,Cute Charm,Competitive,Friend Guard,40,1,,,,0,,,,,,,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,18,73,31,141,Igglybuff,igglybuff,"""","[""pokemon"",""igglybuff""],",Fluffeluff # 
303,Mawile,Flunkifer,,,STEEL,FAIRY,50,85,85,55,55,50,380,"63,33",Hyper Cutter,Intimidate,Sheer Force,40,3,,,,1,,,,,,ja,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,49,112,94,218,Mawile,mawile,"""","[""pokemon"",""mawile""],",Flunkifer # 
618,Stunfisk,Flunschlik,,,GROUND,ELECTRIC,109,66,84,81,99,32,471,"78,5",Static,Limber,Sand Veil,40,5,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,33,92,62,179,Stunfisk,stunfisk,"""","[""pokemon"",""stunfisk""],",Flunschlik # 
293,Whismur,Flurmel,,,NORMAL,- -,64,51,23,51,23,28,240,40,Soundproof,,Rattled,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,29,88,54,170,Whismur,whismur,"""","[""pokemon"",""whismur""],",Flurmel # 
541,Swadloon,Folikon,,,BUG,GRASS,55,63,90,50,80,42,380,"63,33",Leaf Guard,Chlorophyll,Overcoat,40,2,,,,1,,,,,,ja,,,1,,,,ja,0,,,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,42,103,80,201,Swadloon,swadloon,"""","[""pokemon"",""swadloon""],",Folikon # 
470,Leafeon,Folipurba,,,GRASS,- -,65,110,130,60,65,95,525,"87,5",Leaf Guard,,Chlorophyll,40,2,,,,1,,,,,,ja,,,0,,,,,0,,,,2,ja,,,ja,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,90,161,175,317,Leafeon,leafeon,"""","[""pokemon"",""leafeon""],",Folipurba # 
351,Castform,Formeo,,,NORMAL,- -,70,70,70,70,70,70,420,70,Forecast,,,40,1,,,,0,,,,,,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,67,134,130,262,Castform,castform,"""","[""pokemon"",""castform""],",Formeo # 
205,Forretress,Forstellka,,,BUG,STEEL,75,90,140,60,60,40,465,"77,5",Sturdy,,Overcoat,100,8,,,,1,ja,,,,,,,,3,ja,ja,ja,,1,,ja,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,40,101,76,196,Forretress,forretress,"""","[""pokemon"",""forretress""],",Forstellka # 
615,Cryogonal,Frigometri,,,ICE,- -,80,50,50,95,135,105,515,"85,83",Levitate,,,40,6,,,,0,,,,,,,,,0,,,,,1,,ja,,1,,ja,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,,,,,99,172,193,339,Cryogonal,cryogonal,"""","[""pokemon"",""cryogonal""],",Frigometri # 
309,Electrike,Frizelbliz,,,ELECTRIC,- -,40,45,40,65,40,65,295,"49,17",Static,Lightning Rod,Minus,40,1,,,,1,ja,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,63,128,121,251,Electrike,electrike,"""","[""pokemon"",""electrike""],",Frizelbliz # 
478,Froslass,Frosdedje,,,ICE,GHOST,70,80,70,80,70,110,480,80,Snow Cloak,,Cursed Body,60,7,,,,0,,,,,,,,,1,,ja,,,0,,,,0,,,,,,,,,,,,,2,,,ja,,,,,,ja,,,,,,,,,,,103,178,202,350,Froslass,froslass,"""","[""pokemon"",""froslass""],",Frosdedje # 
656,Froakie,Froxy,,,WATER,- -,41,56,40,62,44,71,314,"52,33",Torrent,,Protean,40,1,,,,1,,ja,,,,,,,1,,,ja,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,68,135,132,265,Froakie,froakie,"""","[""pokemon"",""froakie""],",Froxy # 
762,Steenee,Frubaila,,,GRASS,- -,52,40,48,40,48,62,290,"48,33",Leaf Guard,Oblivious,Sweet Veil,40,1,,,,0,,,,,,,,,0,,,,,1,,ja,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,60,125,116,245,Steenee,steenee,"""","[""pokemon"",""steenee""],",Frubaila # 
761,Bounsweet,Frubberl,,,GRASS,- -,42,30,38,30,38,32,210,35,Leaf Guard,Oblivious,Sweet Veil,40,1,,,,0,,,,,,,,,0,,,,,1,,ja,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,33,92,62,179,Bounsweet,bounsweet,"""","[""pokemon"",""bounsweet""],",Frubberl # 
763,Tsareena,Fruyal,,,GRASS,- -,72,120,98,50,98,72,510,85,Leaf Guard,Queenly Majesty,Sweet Veil,100,9,,,,1,,ja,,,,,,,0,,,,,1,,ja,,1,,,,ja,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,69,136,134,267,Tsareena,tsareena,"""","[""pokemon"",""tsareena""],",Fruyal # 
727,Incineroar,Fuegro,,,FIRE,DARK,95,115,90,80,90,60,530,"88,33",Blaze,,Intimidate,60,10,,,,2,,ja,,,ja,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,58,123,112,240,Incineroar,incineroar,"""","[""pokemon"",""incineroar""],",Fuegro # 
58,Growlithe,Fukano,,,FIRE,- -,55,70,45,70,50,60,350,"58,33",Intimidate,Flash Fire,Justified,40,1,,,,0,,,,,,,,,0,,,,,0,,,,1,,,,,,,ja,,,,,,0,,,,,,,,,,,,,,,,,,,,58,123,112,240,Growlithe,growlithe,"""","[""pokemon"",""growlithe""],",Fukano # 
631,Heatmor,Furnifraß,,,FIRE,- -,85,97,66,105,66,65,484,"80,67",Gluttony,Flash Fire,White Smoke,40,4,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,63,128,121,251,Heatmor,heatmor,"""","[""pokemon"",""heatmor""],",Furnifraß # 
653,Fennekin,Fynx,,,FIRE,- -,40,45,40,62,60,60,307,"51,17",Blaze,,Magician,40,1,,,,0,,,,,,,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,58,123,112,240,Fennekin,fennekin,"""","[""pokemon"",""fennekin""],",Fynx # 
475,Gallade,Galagladi,,,PSYCHIC,FIGHTING,68,125,65,65,115,80,518,"86,33",Steadfast,,Justified,60,6,,,,1,,,,ja,,,ja,,0,,,,,0,,,,1,ja,,,,,,,,,,,,2,,,,,,,,,,ja,,,,ja,,,,,,76,145,148,284,Gallade,gallade,"""","[""pokemon"",""gallade""],",Galagladi # 
564,Tirtouga,Galapaflos,,,WATER,ROCK,54,78,103,53,45,22,355,"59,17",Solid Rock,Sturdy,Swift Swim,40,1,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,24,81,44,157,Tirtouga,tirtouga,"""","[""pokemon"",""tirtouga""],",Galapaflos # 
144,Articuno-Galar,Galar-Arktos,,,PSYCHIC,FLYING,90,85,85,125,100,95,580,"96,67",Competitive,,,,,,,,1,,ja,,,,,ja,ja,0,,,,,0,,,,1,,ja,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,ArticunoGalar,articunogalar,"""","[""pokemon"",""articunogalar""],",Galar-Arktos # 
222,Corsola-Galar,Galar-Corasonn,,,GHOST,- -,60,55,100,65,100,30,410,"68,33",Weak Armor,,Cursed Body,,,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,CorsolaGalar,corsolagalar,"""","[""pokemon"",""corsolagalar""],",Galar-Corasonn # 
554,Darumaka-Galar,Galar-Flampion,,,ICE,- -,70,90,45,15,45,50,315,"52,5",Hustle,,Inner Focus,,,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,49,112,94,218,DarumakaGalar,darumakagalar,"""","[""pokemon"",""darumakagalar""],",Galar-Flampion # 
555,Darmanitan-Galar,Galar-Flampivian,,,ICE,- -,105,140,55,30,55,95,480,80,Gorilla Tactics,,Zen Mode,,,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,DarmanitanGalar,darmanitangalar,"""","[""pokemon"",""darmanitangalar""],",Galar-Flampivian # 
555,Darmanitan-Galar-Zen,Galar-Flampivian-Zen,,,ICE,FIRE,105,160,55,30,55,135,540,90,Zen Mode,,,,,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,126,205,247,405,DarmanitanGalarZen,darmanitangalarzen,"""","[""pokemon"",""darmanitangalarzen""],",Galar-Flampivian-Zen # 
79,Slowpoke-Galar,Galar-Flegmon,,,PSYCHIC,,90,65,65,40,40,15,315,"52,5",Gluttony,Own Tempo,Regenerator,,,,,,0,,,,,,,ja,,0,,,,,0,,,,1,,,,,ja,,,,,,,,0,,,,,,,,,,,,,,,,,,,,18,73,31,141,SlowpokeGalar,slowpokegalar,"""","[""pokemon"",""slowpokegalar""],",Galar-Flegmon # 
618,Stunfisk-Galar,Galar-Flunschlik,,,STEEL,GROUND,109,81,99,66,84,32,471,"78,5",Mimicry,,,,,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,33,92,62,179,StunfiskGalar,stunfiskgalar,"""","[""pokemon"",""stunfiskgalar""],",Galar-Flunschlik # 
78,Rapidash-Galar,Galar-Gallopa,,,PSYCHIC,FAIRY,65,100,70,80,80,105,500,"83,33",Run Away,Pastel Veil,Anticipation,,,,,,1,,,,,,ja,ja,,0,,,,,0,,,,1,,,,,,,ja,,,,,,1,,,,,,,,,,,ja,,,,,,,,,99,172,193,339,RapidashGalar,rapidashgalar,"""","[""pokemon"",""rapidashgalar""],",Galar-Gallopa # 
264,Linoone-Galar,Galar-Geradaks,,,DARK,NORMAL,78,70,61,50,61,100,420,70,Pickup,Gluttony,Quick Feet,,,,,,1,,,,,ja,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,94,167,184,328,LinooneGalar,linoonegalar,"""","[""pokemon"",""linoonegalar""],",Galar-Geradaks # 
80,Slowbro-Galar,Galar-Lahmus,,,POISON,PSYCHIC,95,100,95,100,70,30,490,"81,67",Quick Draw,Own Tempo,Regenerator,,,,,,0,,,,,,,ja,,0,,,,,0,,,,1,,,,,ja,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,SlowbroGalar,slowbrogalar,"""","[""pokemon"",""slowbrogalar""],",Galar-Lahmus # 
199,Slowking-Galar,Galar-Laschoking,,,POISON,PSYCHIC,95,65,80,110,110,30,490,"81,67",Curious Medicine,Own Tempo,Regenerator,,,,,,0,,,,,,,ja,,0,,,,,0,,,,1,,,,,ja,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,SlowkingGalar,slowkinggalar,"""","[""pokemon"",""slowkinggalar""],",Galar-Laschoking # 
146,Moltres-Galar,Galar-Lavados,,,DARK,FLYING,90,85,90,100,125,90,580,"96,67",Berserk,,,,,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,85,156,166,306,MoltresGalar,moltresgalar,"""","[""pokemon"",""moltresgalar""],",Galar-Lavados # 
562,Yamask-Galar,Galar-Makabaja,,,GROUND,GHOST,38,55,85,30,65,30,303,"50,5",Wandering Spirit,,,,,,,,0,,,,,,,ja,,1,,,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,31,90,58,174,YamaskGalar,yamaskgalar,"""","[""pokemon"",""yamaskgalar""],",Galar-Makabaja # 
52,Meowth-Galar,Galar-Mauzi,,,STEEL,- -,50,65,55,40,40,40,290,"48,33",Pickup,Tough Claws,Unnerve,,,,,,2,,ja,,,ja,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,40,101,76,196,MeowthGalar,meowthgalar,"""","[""pokemon"",""meowthgalar""],",Galar-Mauzi # 
122,Mr. Mime-Galar,Galar-Pantimos,,,ICE,PSYCHIC,50,65,65,90,90,100,460,"76,67",Vital Spirit,Screen Cleaner,Ice Body,,,,,,1,,,,,,ja,ja,,0,,,,,1,,ja,,0,,,,,,,,,,,,,3,,,ja,ja,,,,,ja,,,,,,,,,,,94,167,184,328,MrMimeGalar,mrmimegalar,"""","[""pokemon"",""mrmimegalar""],",Galar-Pantimos # 
77,Ponyta-Galar,Galar-Ponita,,,PSYCHIC,- -,50,85,55,65,65,90,410,"68,33",Run Away,Pastel Veil,Anticipation,,,,,,0,,,,,,,,,0,,,,,0,,,,1,,,,,,,ja,,,,,,0,,,,,,,,,,,,,,,,,,,,85,156,166,306,PonytaGalar,ponytagalar,"""","[""pokemon"",""ponytagalar""],",Galar-Ponita # 
83,Farfetch’d-Galar,Galar-Porenta,,,FIGHTING,- -,52,95,55,58,62,55,377,"62,83",Steadfast,,Scrappy,,,,,,0,,,,,,,,,0,,,,,1,ja,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,54,117,103,229,FarfetchdGalar,farfetchdgalar,"""","[""pokemon"",""farfetchdgalar""],",Galar-Porenta # 
110,Weezing-Galar,Galar-Smogmog,,,POISON,FAIRY,65,90,120,85,70,60,490,"81,67",Levitate,Neutralizing Gas,Misty Surge,,,,,,0,,,,,,,,,1,,,ja,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,58,123,112,240,WeezingGalar,weezinggalar,"""","[""pokemon"",""weezinggalar""],",Galar-Smogmog # 
